pitcher_name,pitch_type,pitch_name,count,usage_pct,avg_velo,avg_spin,pfx_x,pfx_z,whiffs,swings,delta_run_exp,whiff_rate,pfx_x_in,pfx_z_in
Drew Rasmussen,SI,Sinker,531,22.927461139896373,95.40018832391713,2417.960451977401,-1.1981544256120529,1.0937476459510358,34,250,-4.37,0.136,-14.377853107344635,13.12497175141243
Drew Rasmussen,ST,Sweeper,109,4.706390328151986,84.60366972477064,2703.798165137615,1.0009174311926605,-0.17605504587155965,11,40,2.651,0.275,12.011009174311926,-2.112660550458716
Freddy Peralta,CH,Changeup,714,21.237358715050565,88.85252100840336,1939.3095238095239,-1.3975070028011205,0.30480392156862746,115,335,-8.697000000000001,0.34328358208955223,-16.770084033613447,3.6576470588235295
Freddy Peralta,CU,Curveball,510,15.169541939321832,78.72078431372549,2325.4529411764706,0.4414313725490196,-0.49580392156862746,86,244,-5.027,0.3524590163934426,5.297176470588235,-5.94964705882353
Freddy Peralta,FF,4-Seam Fastball,1770,52.64723378941106,94.7593220338983,2441.2706214689265,-0.38360451977401133,1.3957570621468924,189,827,-3.735999999999999,0.22853688029020555,-4.6032542372881355,16.74908474576271
Freddy Peralta,SL,Slider,368,10.945865556216537,83.42201086956521,2434.353260869565,0.4560597826086957,0.3903260869565217,82,165,-4.683,0.49696969696969695,5.472717391304348,4.6839130434782605
Garrett Crochet,CH,Changeup,83,2.4850299401197606,88.71084337349397,2096.5365853658536,1.3767469879518073,0.7109638554216867,16,33,-1.667,0.48484848484848486,16.520963855421687,8.53156626506024
Garrett Crochet,FC,Cutter,929,27.814371257485032,90.86899892357374,2591.874594594595,-0.3073735199138859,0.5037997847147471,127,508,-11.409,0.25,-3.688482238966631,6.045597416576965
Garrett Crochet,FF,4-Seam Fastball,1202,35.98802395209581,96.44317803660566,2457.705289672544,0.6623544093178036,1.3249584026622296,173,584,7.079,0.2962328767123288,7.948252911813643,15.899500831946757
Garrett Crochet,SI,Sinker,534,15.988023952095809,96.07734082397005,2397.043396226415,1.3486142322097379,0.6693445692883895,52,251,-15.068999999999999,0.20717131474103587,16.183370786516853,8.032134831460674
Garrett Crochet,ST,Sweeper,524,15.68862275449102,82.79045801526718,2373.843511450382,-1.1518320610687023,-0.25080152671755723,126,315,-15.075,0.4,-13.821984732824427,-3.009618320610687
Hunter Brown,CH,Changeup,356,12.018906144496961,88.20056179775281,1501.3651685393259,-1.1967977528089888,0.6586797752808989,43,158,-2.0479999999999996,0.2721518987341772,-14.361573033707867,7.904157303370788
Hunter Brown,FC,Cutter,164,5.536799459824443,92.64268292682927,2259.951219512195,0.2723170731707317,0.6086585365853658,23,73,3.071,0.3150684931506849,3.2678048780487807,7.30390243902439
Hunter Brown,FF,4-Seam Fastball,1109,37.440918298446995,96.57989179440938,2275.8620378719565,-0.5629035166816952,1.444580703336339,139,465,-16.230999999999998,0.2989247311827957,-6.754842200180343,17.334968440036068
Hunter Brown,KC,Knuckle Curve,530,17.89331532748143,83.51283018867925,2574.2830188679245,0.4229056603773585,-1.329056603773585,91,230,-9.075,0.39565217391304347,5.074867924528302,-15.948679245283019
Hunter Brown,SI,Sinker,672,22.687373396353816,95.70491071428572,2179.3244047619046,-1.1604910714285714,1.096235119047619,59,329,-6.356,0.17933130699088146,-13.925892857142857,13.154821428571427
Hunter Brown,SL,Slider,131,4.422687373396354,90.54732824427481,2198.1908396946565,0.3296946564885496,0.4430534351145038,14,62,0.7840000000000004,0.22580645161290322,3.956335877862595,5.316641221374045
Jacob Misiorowski,CH,Changeup,71,5.267062314540059,92.29577464788733,2122.760563380282,-1.3907042253521127,0.45605633802816903,14,37,-2.035,0.3783783783783784,-16.688450704225353,5.472676056338028
Jacob Misiorowski,CU,Curveball,208,15.43026706231454,87.29615384615384,2437.908653846154,0.5396634615384616,-0.7448076923076923,34,102,-0.4029999999999999,0.3333333333333333,6.475961538461538,-8.937692307692307
Jacob Misiorowski,FF,4-Seam Fastball,719,53.338278931750736,99.4529902642559,2595.08066759388,-0.7945618915159944,1.3197079276773296,116,354,-4.464,0.327683615819209,-9.534742698191934,15.836495132127954
Jacob Misiorowski,SL,Slider,350,25.96439169139466,94.17857142857143,2484.9342857142856,0.21405714285714286,0.5348571428571428,40,166,-0.9719999999999999,0.24096385542168675,2.5686857142857145,6.418285714285714
Joe Ryan,FF,4-Seam Fastball,1450,50.22514721163838,93.60827586206896,2290.776551724138,-1.0500482758620688,1.1403862068965518,218,800,-17.913,0.2725,-12.600579310344827,13.684634482758621
Joe Ryan,FS,Split-Finger,320,11.084170419120195,87.5796875,2008.06875,-1.2687187500000001,0.088625,29,124,7.267,0.23387096774193547,-15.224625000000001,1.0635
Joe Ryan,KC,Knuckle Curve,110,3.810183581572567,79.14454545454545,2816.2090909090907,1.0383636363636364,-0.8092727272727273,22,52,-1.2180000000000002,0.4230769230769231,12.460363636363637,-9.711272727272727
Joe Ryan,SI,Sinker,358,12.400415656390717,93.11675977653633,2128.645251396648,-1.363659217877095,0.7067877094972067,26,170,0.5330000000000006,0.15294117647058825,-16.36391061452514,8.481452513966481
Joe Ryan,SL,Slider,266,9.213716660893661,87.84323308270676,2319.40977443609,-0.005676691729323309,0.5488721804511278,26,118,2.3690000000000007,0.22033898305084745,-0.06812030075187972,6.586466165413534
Joe Ryan,ST,Sweeper,382,13.23172843782473,80.58507853403141,2781.80890052356,1.322198952879581,0.0124869109947644,53,159,1.4920000000000004,0.3333333333333333,15.866387434554973,0.1498429319371728
Kevin Gausman,FF,4-Seam Fastball,1904,52.53863134657837,94.45031512605041,2258.6129201680674,-0.9180042016806723,1.4039863445378151,164,1010,-21.956,0.16237623762376238,-11.016050420168067,16.847836134453782
Kevin Gausman,FS,Split-Finger,1374,37.913907284768214,84.89017467248908,1686.287481804949,-1.2993668122270743,0.36857350800582245,288,720,-11.491,0.4,-15.592401746724892,4.42288209606987
Kevin Gausman,SL,Slider,343,9.464679911699779,83.50437317784257,2320.4985422740524,0.1296793002915452,0.2062973760932945,44,117,4.162,0.37606837606837606,1.5561516034985425,2.475568513119534
Kyle Freeland,CH,Changeup,172,6.379821958456973,86.2720930232558,1523.7790697674418,1.0327906976744188,0.5442441860465116,10,71,3.6910000000000003,0.14084507042253522,12.393488372093024,6.5309302325581395
Kyle Freeland,FC,Cutter,425,15.764094955489613,87.33294117647058,2363.7952941176472,0.049623529411764705,0.518164705882353,44,221,3.205,0.19909502262443438,0.5954823529411765,6.217976470588235
Kyle Freeland,FF,4-Seam Fastball,881,32.6780415430267,91.56651532349603,2397.7922814982976,0.6542565266742338,1.2595686719636776,59,464,10.092,0.1271551724137931,7.8510783200908065,15.114824063564132
Kyle Freeland,KC,Knuckle Curve,681,25.259643916913948,82.60778267254038,2393.258443465492,-0.18227606461086637,-0.5409691629955947,127,331,-6.9239999999999995,0.38368580060422963,-2.1873127753303967,-6.491629955947136
Kyle Freeland,SI,Sinker,197,7.307121661721068,91.34670050761422,2278.994923857868,1.1773604060913705,0.6797969543147208,10,111,4.144,0.09009009009009009,14.128324873096446,8.15756345177665
Kyle Freeland,ST,Sweeper,340,12.611275964391691,83.5879411764706,2329.2182890855456,-0.8012352941176472,-0.2596764705882353,47,187,2.5909999999999997,0.25133689839572193,-9.614823529411765,-3.1161176470588234
Logan Gilbert,CU,Curveball,193,7.631474891261368,82.23316062176166,2194.361256544503,1.0784974093264248,-0.26518134715025904,30,80,0.654,0.375,12.941968911917098,-3.1821761658031082
Logan Gilbert,FF,4-Seam Fastball,914,36.14076710162119,95.45897155361051,2110.0055679287307,-0.6874398249452954,1.377352297592998,99,481,-9.200999999999999,0.20582120582120583,-8.249277899343545,16.528227571115977
Logan Gilbert,FS,Split-Finger,503,19.88928430209569,81.71153081510934,718.7777777777778,-0.4088469184890656,-0.07697813121272365,143,288,-4.531,0.4965277777777778,-4.906163021868787,-0.9237375745526838
Logan Gilbert,SL,Slider,890,35.191775405298536,87.4856179775281,1817.312,0.053910112359550566,0.06857303370786517,141,426,0.028000000000000018,0.33098591549295775,0.6469213483146068,0.8228764044943822
Logan Webb,CH,Changeup,800,23.90914524805738,86.47987499999999,1501.1575,-0.707175,-0.46551250000000005,146,451,-9.858,0.3237250554323725,-8.4861,-5.586150000000001
